Address,From Block Number,From Time,To Block Number,To Time,Timespan in Seconds,Balance at Block,Percent of Time At Balance,Average Balance
0x10583948905D768880bA6C5a17847556dA49305a,7238080,2020-01-31T23:47:47Z,7618581,2020-03-30T10:18:50Z,5049063,0.00000000,96.065565,
0x10583948905D768880bA6C5a17847556dA49305a,7618581,2020-03-30T10:18:50Z,7618718,2020-03-30T10:47:16Z,1706,3.00000000,0.032459,
0x10583948905D768880bA6C5a17847556dA49305a,7618718,2020-03-30T10:47:16Z,7634381,2020-04-01T19:45:18Z,205082,3.10000000,3.901975,
0x10583948905D768880bA6C5a17847556dA49305a,,,,,,,,0.12193500158204637077
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7238080,2020-01-31T23:47:47Z,7254235,2020-02-03T10:46:03Z,212296,0.00000000,4.039231,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7254235,2020-02-03T10:46:03Z,7254251,2020-02-03T10:50:17Z,254,500.00000000,0.004832,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7254251,2020-02-03T10:50:17Z,7400605,2020-02-25T15:07:50Z,1916253,188.02550772,36.459423,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7400605,2020-02-25T15:07:50Z,7400618,2020-02-25T15:09:45Z,115,192.71353323,0.002188,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7400618,2020-02-25T15:09:45Z,7400650,2020-02-25T15:11:35Z,110,191.68524763,0.002092,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7400650,2020-02-25T15:11:35Z,7444720,2020-03-03T10:15:31Z,587036,191.58424763,11.169190,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7444720,2020-03-03T10:15:31Z,7444726,2020-03-03T10:17:39Z,128,192.08414763,0.002435,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7444726,2020-03-03T10:17:39Z,7453173,2020-03-04T14:18:28Z,100849,192.17627431,1.918794,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7453173,2020-03-04T14:18:28Z,7453179,2020-03-04T14:19:23Z,55,192.17527431,0.001046,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7453179,2020-03-04T14:19:23Z,7453194,2020-03-04T14:21:00Z,97,192.17385694,0.001845,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7453194,2020-03-04T14:21:00Z,7507783,2020-03-12T15:07:46Z,694006,192.17375684,13.204445,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7507783,2020-03-12T15:07:46Z,7522584,2020-03-15T10:52:24Z,243878,193.16322678,4.640123,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7522584,2020-03-15T10:52:24Z,7618565,2020-03-30T10:13:58Z,1293694,192.15958071,24.614358,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7618565,2020-03-30T10:13:58Z,7618581,2020-03-30T10:18:50Z,292,191.14015445,0.005555,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7618581,2020-03-30T10:18:50Z,7618707,2020-03-30T10:44:06Z,1516,188.13715445,0.028844,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7618707,2020-03-30T10:44:06Z,7618718,2020-03-30T10:47:16Z,190,187.13615445,0.003615,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7618718,2020-03-30T10:47:16Z,7618742,2020-03-30T10:54:06Z,410,187.03605445,0.007800,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7618742,2020-03-30T10:54:06Z,7618750,2020-03-30T10:56:32Z,146,186.93595445,0.002777,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7618750,2020-03-30T10:56:32Z,7618757,2020-03-30T10:58:50Z,138,186.83585445,0.002625,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,7618757,2020-03-30T10:58:50Z,7634381,2020-04-01T19:45:18Z,204388,186.73575445,3.888770,
0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,,,,,,,,182.67692798581186374661
